Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department,Cost
Sketch for the film Dr. Cyclops,Ernst Schoedsack,(American),-1898,-1979,(Male),-1940,Drawings," 1,237 "
23 rue de Seine,Eugène Atget,(French),-1857,-1927,(Male),1905-1906,Photography," 1,292 "
Great White Way,Christopher Richard Wynne Nevinson,(British),-1889,-1946,(Male),1920,Prints & Illustrated Books," 1,135 "
Obsidian,Lee Krasner,(American),-1908,-1984,(Female),1962,Prints & Illustrated Books," 1,069 "
Untitled,Mateo López,(Colombian),-1978,,(Male),(2008-2010),Drawings," 1,317 "
"Les Espaces d'Abraxas: Le Palacio, Le Théâtre, L'Arc, Marne-la-Vallée, France, Le Theatre and L'Arc: facade detail",Ricardo Bofill,(Spanish),-1939,,(Male),1979,Architecture & Design," 1,125 "
My Very First Kiss,Danielle Jaeggi,(Swiss),-1945,,(Female),1984,Media and Performance Art," 1,073 "
"Hartford, Connecticut",Mark Steinmetz,(American),-1961,,(Male),2001,Photography," 1,479 "
"Poster for Non-Art Anti-Art Festival, June 1–15, 1969",Ben Vautier,(French),-1935,,(Male),1969,Prints & Illustrated Books," 1,196 "
Untitled,Friedrich Kunath,(German),-1974,,(Male),2003,Drawings," 1,401 "
"In the Apartment, September 1975 / ""Elle,"" March 1975",Sanja Iveković,(Croatian),-1949,,(Female),1975,Photography," 1,427 "
Technische Vereinigung Magdeburg,Walter Dexel,(German),-1890,-1973,(Male),1930-1931,Architecture & Design," 1,391 "
Untitled from Flowers,Andy Warhol,(American),-1928,-1987,(Male),1970,Prints & Illustrated Books," 1,195 "
"Plate (folio 14) from MOI, BEN JE SIGNE",Ben Vautier,(French),-1935,,(Male),(1962-1975),Prints & Illustrated Books," 1,175 "
Plate (facing page 44) from Ebbi,Max Beckmann,(German),-1884,-1950,(Male),1924,Prints & Illustrated Books," 1,061 "
Love Affair,Leo McCarey,(American),-1898,-1969,(),1939,Film," 1,327 "
"Tailpiece (after André Mare, page 22) from ARCHITECTURES",André Chapon,(French),,,(Male),1921,Prints & Illustrated Books," 1,278 "
Praying Mantis Crane,Nicolas Lampert,(American),-1969,,(Male),2006,Prints & Illustrated Books," 1,274 "
Two Pipes,Peter Downsbrough,(American),-1940,,(Male),1972,Painting & Sculpture," 1,036 "
YKO label,Joost Schmidt,(German),-1893,-1948,(Male),1924-1925,Architecture & Design," 1,133 "
Khudozhnik Dmitrii Sobolev,Dmitrii Sobolev,(),,,(Male),1930,Prints & Illustrated Books, 921 
Untitled,Léon H. Tutundjian,(Russian),-1905,-1968,(Male),1928,Drawings," 1,480 "
"Tchitchikov's Farewell to Manilov (Les Adieux de Tchitchikov à Manilov), plate XII (supplementary suite) from Les Âmes mortes",Marc Chagall,(French),-1887,-1985,(Male),1923-1948,Prints & Illustrated Books," 1,249 "
1/2 Round,Dan Walsh,(American),-1960,,(Male),2008,Prints & Illustrated Books," 1,252 "
Construction,James Rosati,(American),-1912,-1988,(Male),-1976,Drawings," 1,276 "
Meanderthal Roturns,Alice Trumbull Mason,(American),-1904,-1971,(Female),1947,Prints & Illustrated Books," 1,280 "
Armchair,Shiro Kuramata,(Japanese),-1934,-1991,(Male),1976,Architecture & Design," 1,431 "
Frontispiece (Frontispiz) from Über das Geistige in der Kunst (Concerning the Spiritual in Art),Vasily Kandinsky,(French),-1866,-1944,(Male),1911,Prints & Illustrated Books," 1,472 "
Headpiece (page 163) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,(French),-1871,-1958,(Male),1926-1938,Prints & Illustrated Books," 1,027 "
Marvin Ate an Ounce of Cocaine from God Love the Tragic Artist: Meg Cranston on the Life of Marvin Gaye,Meg Cranston,(American),-1960,,(Female),1995,Drawings," 1,377 "
COMPOSITION II,Miroslav Sutej,(Yugoslav),-1936,-2005,(Male),1966,Prints & Illustrated Books," 1,499 "
UNTITLED (GABRIELA HUMPKE AND MICHAEL SPANO),Michael Spano,(American),-1949,,(Male),1983,Photography, 919 
Jenny Lind and Otto Goldschmidt,Unknown,(),,,(),c. 1850,Photography, 913 
Untitled,Unknown,(),,,(),c. 1940,Photography, 986 
Standing Boy,Fritz Wotruba,(Austrian),-1907,-1975,(Male),(c. 1925),Drawings," 1,086 "
Headpiece (page 69) from FABLES,Thomas Bewick,(British),-1753,-1828,(Male),1818,Prints & Illustrated Books," 1,167 "
Untitled from Six Aquatints,Lois Lane,(American),-1948,,(Female),1979,Prints & Illustrated Books, 945 
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,(),,,(),c. 1914,Prints & Illustrated Books," 1,146 "
Postal Dossier (Dossier postale),Alighiero Boetti,(Italian),-1940,-1994,(Male),1969-1970,Prints & Illustrated Books," 1,188 "
Sketch for Quarry Project: Texas Overflow,Robert Smithson,(American),-1938,-1973,(Male),-1968,Drawings, 965 
Untitled,Peter Halley,(American),-1953,,(Male),2003,Drawings," 1,146 "
"Untitled (After Malevich and Schiele), from the 1917 exhibition, Nature Morte Gallery, New York",Sherrie Levine,(American),-1947,,(Female),-1984,Drawings," 1,249 "
"(Group of Women, One In Front With Hand to Forehead)",Wayne Miller,(American),-1918,-2013,(Male),1945,Photography, 923 
Untitled (gray and white lines),Lauretta Vinciarelli,(Italian),-1943,-2012,(Female),1973,Architecture & Design," 1,069 "
In-text plate (page 37) from L'ÉVANGILE,Léo Marchutz,(French),-1903,-1976,(Male),1947-1949,Prints & Illustrated Books," 1,175 "
Pose 0065 Agnes Gund,Lucas Samaras,(American),-1936,,(Male),2009,Photography," 1,167 "
"Mary and Kate Steichen, Voulangis, France",Edward Steichen,(American),-1879,-1973,(Male),1913,Photography," 1,359 "
Untitled,John Altoon,(American),-1925,-1969,(Male),1968,Prints & Illustrated Books, 997 
CHASSE,Jean Dubuffet,(French),-1901,-1985,(Male),-1949,Prints & Illustrated Books," 1,116 "
Untitled,Unknown,(),,,(),c. 1938-1960,Photography," 1,484 "
"Untitled, plate 9 of 14, from the portfolio, Autobiograhpical Series",Louise Bourgeois,(American),-1911,-2010,(Female),1993,Prints & Illustrated Books, 964 
Cornish Pasty from The Last Supper,Damien Hirst,(British),-1965,,(Male),1999,Prints & Illustrated Books," 1,164 "
Plate from La Poupée,Hans Bellmer,(German),-1902,-1975,(Male),1936,Photography," 1,007 "
The Blue Pigeon,Georges Braque,(French),-1882,-1963,(Male),1953,Prints & Illustrated Books," 1,199 "
In-text plate (folio 32) from BIOTHERM,Jim Dine,(American),-1935,,(Male),1989-1990,Prints & Illustrated Books," 1,081 "
Kinmont’s entry ticket to the Louvre,Ben Kinmont,(American),-1963,,(Male),2005,Prints & Illustrated Books," 1,214 "
Drawing from Zeno Writing,William Kentridge,(South African),-1955,,(Male),-2002,Drawings," 1,385 "
(Untitled),Iwata Nakayama,(Japanese),-1895,-1949,(Male),1931,Photography," 1,018 "
"Plate 5 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),-1911,-2010,(Female),1995,Prints & Illustrated Books," 1,424 "
Verletzung from En Bloc,Lambert Maria Wintersberger,(German),-1941,,(),1970,Prints & Illustrated Books," 1,309 "
"Battlefield of Atlanta, 22nd July, 1864, No. 1 from the album Photographic Views of Sherman's Campaign",George Barnard,(American),-1819,-1902,(Male),1864,Photography, 904 
Tegninger i Morket,Troels Wörsel,(Danish),-1950,,(Male),1977,Prints & Illustrated Books, 910 
"Mr. André Dupin Sr. (M. André Dupin, Aîné)",Honoré Daumier,(French),-1808,-1879,(Male),1832,Prints & Illustrated Books, 977 
Young Couple (Junges Paar),Emil Nolde,(German),-1867,-1956,(Male),-1917,Prints & Illustrated Books," 1,158 "
Just for You,Ken Friedman,(American),-1939,,(Male),1967,Prints & Illustrated Books," 1,365 "
Figure Study,Clarence H. White,(American),-1871,-1925,(Male),1910,Photography," 1,210 "
Choi voi (Adrift),Chuyên Bùi Thac,(Vietnamese),-1968,,(Male),2009,Film," 1,332 "
Evelyn Waugh at Piers Court,Bill Brandt,(British),-1904,-1983,(Male),1949,Photography," 1,495 "
Portfolio (Manifesto),Nicolas Garcia Uriburu,(Argentine),-1937,-2016,(Male),1973,Prints & Illustrated Books," 1,491 "
PROVINS (FERME). VIEILLE MAISON,Eugène Atget,(French),-1857,-1927,(Male),1923,Photography," 1,342 "
"ORACLE OVER BABYLON, plate 93 (volume II, folio 76) from the BIBLE",Marc Chagall,(French),-1887,-1985,(Male),1931-1956,Prints & Illustrated Books," 1,172 "
Alleyway,Armin Landeck,(American),-1905,-1984,(Male),1948,Prints & Illustrated Books," 1,441 "
Untitled (Printed Matter Matters),Barbara Kruger,(American),-1945,,(Female),-1989,Prints & Illustrated Books," 1,238 "
"Stationery for the exhibition ""SONA: The Golden One""",Elaine Lustig Cohen,(American),-1927,-2016,(Female),1965,Architecture & Design," 1,036 "
"Morris Greenwald House, Weston, Connecticut, Plans, elevations and sections",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1960,Architecture & Design," 1,298 "
In-text plate (folio 6) from LA MÉTROMANIE,Jean Dubuffet,(French),-1901,-1985,(Male),1949-1950,Prints & Illustrated Books," 1,083 "
Untitled from White Mammals,Kiki Smith,(American),-1954,,(Female),1998,Prints & Illustrated Books," 1,491 "
"Ex-Slave With Long Memory, Alabama",Dorothea Lange,(American),-1895,-1965,(Female),1937,Photography," 1,319 "
Silver Dynamo,Heinz Mack,(German),-1931,,(Male),1964,Painting & Sculpture," 1,212 "
"THE INN (plate, page 93) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),-1877,-1953,(Male),1938-1940,Prints & Illustrated Books," 1,197 "
Last Civil War Veteran II,Larry Rivers,(American),-1923,-2002,(Male),1961,Prints & Illustrated Books, 960 
ONE RED MAPLE LEAF,James Henderson Boyd,(Canadian),-1928,-2002,(Male),-1964,Prints & Illustrated Books," 1,440 "
Girl with Braided Hair,Jacques Lipchitz,(American),-1891,-1973,(Male),-1914,Drawings," 1,007 "
"Two Girls, 117th Street, Harlem, NY",Shawn W. Walker,(American),-1940,,(Male),1965,Photography," 1,377 "
Landscape,Bruce Conner,(American),-1933,-2008,(Male),1965,Prints & Illustrated Books," 1,061 "
Earring,Hal Fischer,(American),-1950,,(Male),1977,Photography, 906 
Untitled,Pat Passlof,(American),-1928,-2011,(Female),c. 1950,Drawings," 1,360 "
Plate (page 43) from ARCHITECTURES,Jean-Louis Boussingault,(French),-1883,-1943,(Male),1921,Prints & Illustrated Books," 1,476 "
"AT THE TOMB OF THE UNKNOWN SOLDIER (plate, folio 36) from DAMES ET GÉNÉRAUX",Enrico Baj,(Italian),-1924,-2003,(Male),1963-1964,Prints & Illustrated Books," 1,140 "
"The Atheneum, New Harmony, Indiana, Site plan, study",Richard Meier,(American),-1934,,(Male),c.1976,Architecture & Design, 959 
Raindance (Drawing for Shaman),Bill Jensen,(American),-1945,,(Male),1980-1981,Drawings," 1,497 "
"IN THE HOUSE OF THE RICH, plate 7 (folio 12) from TEVIA THE MILKMAN, Volume I",Anatoli Lvovich Kaplan,(Russian),-1902,-1980,(Male),1957-1961,Prints & Illustrated Books," 1,146 "
PARTS by Robert Creeley,Susan Rothenberg,(American),-1945,,(Female),1993,Prints & Illustrated Books," 1,083 "
LA MADELEINE. PORTE (DÉTAIL),Eugène Atget,(French),-1857,-1927,(Male),1907,Photography," 1,459 "
Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh,Unknown,(),,,(),1931,Prints & Illustrated Books," 1,101 "
The Pike (La Pique),Pablo Picasso,(Spanish),-1881,-1973,(Male),1950,Prints & Illustrated Books," 1,206 "
I am number one,Henning Christiansen,(Danish),-1932,-2008,(Male),1965,Prints & Illustrated Books," 1,021 "
Study for Utopian Landscape #5 (Mound of Skulls),Jim Shaw,(American),-1952,,(Male),-1988,Drawings," 1,122 "
Liver Bacon Onions from The Last Supper,Damien Hirst,(British),-1965,,(Male),1999,Prints & Illustrated Books," 1,257 "
"Landscape from Window, B",Masuo Ikeda,(Japanese),-1934,-1997,(Male),1966,Prints & Illustrated Books," 1,431 "
BACON GREASE from the portfolio STAINS,Edward Ruscha,(American),-1937,,(Male),1969,Prints & Illustrated Books," 1,134 "
"Stage set design for ""A Midsummer Night's Dream"" at the Heidelberg Festival",Hans Poelzig,(German),-1869,-1936,(Male),1926,Architecture & Design," 1,182 "
"Plate 5 of 9, from the illustrated book, He Disappeared into Complete Silence",Louise Bourgeois,(American),-1911,-2010,(Female),1946-1947,Prints & Illustrated Books," 1,409 "
The Vertigo of Eros,Roberto Matta,(Chilean),-1911,-2002,(Male),1944,Painting & Sculpture, 980 
BENEATH AN APRICOT TREE,Stephen Scheer,(American),-1954,,(Male),1987,Photography, 927 
Deadman 5,Paul Chan,(Chinese),-1973,,(Male),2003,Prints & Illustrated Books, 956 
Parkett no. 53,Various Artists,(Various),,,(),1998,Prints & Illustrated Books," 1,428 "
Untitled,Miguel Rio Branco,(Brazilian),-1946,,(Male),1970-1972,Photography," 1,324 "
"Keret House, Warsaw, Poland",Jakub Szczęsny,(Polish),-1973,,(Male),2012,Architecture & Design," 1,185 "
"Study for ""Luxe, calme et volupté""",Henri Matisse,(French),-1869,-1954,(Male),1904,Painting & Sculpture," 1,026 "
"Untitled, no. 22 of 34, from the illustrated book, Ode à l'Oubli",Louise Bourgeois,(American),-1911,-2010,(Female),2002,Prints & Illustrated Books," 1,370 "
"Hermann Lange House, Krefeld, Germany (Floor plan)",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),c.1927-1930,Architecture & Design," 1,235 "
"Drawing for Water Tower, VII",Rachel Whiteread,(British),-1963,,(Female),-1997,Drawings," 1,338 "
COMPOSITION IN OVAL,James Forsberg,(American),-1919,-1991,(Male),-1948,Prints & Illustrated Books," 1,305 "
In-text plate (page 240) from OEUVRES,Gustave Doré,(French),-1832,-1883,(Male),1854,Prints & Illustrated Books," 1,263 "
Plate (folio 13) from KAFKA,Roger Chancel,(French),-1898,-1976,(Male),1957,Prints & Illustrated Books, 905 
"Sketchbook: El Golea, II",Jean Dubuffet,(French),-1901,-1985,(Male),1948,Drawings, 925 
Untitled #261,José Antonio Suárez Londoño,(Colombian),-1955,,(Male),2008,Prints & Illustrated Books," 1,356 "
Cover (Bucheinband) from Umbra vitae,Ernst Ludwig Kirchner,(German),-1880,-1938,(Male),1924,Prints & Illustrated Books," 1,175 "
Untitled,Unknown,(),,,(),c. 1938-1960,Photography," 1,200 "
"PROFILE OF THE EASTERN FACADE, SHOWING THE CURVATURE OF THE STYLOBATE",William James Stillman,(American),-1828,-1901,(Male),1869,Photography," 1,013 "
Untitled,Alina Szapocznikow,(Polish),-1926,-1973,(Female),1963,Drawings," 1,039 "
Portrait of Dr. Scholz (Bildnis Dr. Scholz),Ewald Mataré,(German),-1887,-1965,(Male),1920,Prints & Illustrated Books, 998 
BEAUTÉS DE 1918,Juan Gris,(Spanish),-1887,-1927,(Male),1919,Prints & Illustrated Books," 1,398 "
Untitled,Unknown,(),,,(),c. 1938-1960,Photography, 920 
Lotus VII from The Lotus Series,Robert Rauschenberg,(American),-1925,-2008,(Male),2008,Prints & Illustrated Books," 1,145 "
Postcard (Addressed to A.F. Del Marle),Piet Mondrian,(Dutch),-1872,-1944,(Male),1926-1927,Architecture & Design," 1,157 "
"The Year of Our Lord MCMXVI after Christ's Birth (Anno Domini MCMXVI post Christum natum) (front cover, foilio 28) from the periodical Der Bildermann, vol. 1, no. 14 (Oct 1916)",Ernst Barlach,(German),-1870,-1938,(Male),1916,Prints & Illustrated Books," 1,100 "
"Economize in Time, Temper, Petrol by Using Winter Shell",E. McKnight Kauffer,(American),-1890,-1954,(Male),1932,Architecture & Design," 1,126 "
Prototype forPaper Fluxwork,Willem de Ridder,(Dutch),-1939,,(Male),c. 1965,Fluxus Collection," 1,356 "
"The Old Oakland, Seventh and West Streets",Chauncey Hare,(American),-1934,,(Male),1966,Photography," 1,368 "
Look-Out (Vigie),Henri Georges Adam,(French),-1904,-1967,(Male),1959,Prints & Illustrated Books," 1,027 "
Tengu,Crispin Jones,(British),-1974,,(Male),2007,Architecture & Design," 1,307 "
Huddle,Simone Forti,(American),-1935,,(Female),1974,Media and Performance Art," 1,370 "
Plate (folio 11 verso) from PIGEN I ILDEN,Asger Jorn,(Danish),-1914,-1973,(Male),1938,Prints & Illustrated Books," 1,233 "
Untitled,Ernest J. Bellocq,(American),-1873,-1949,(Male),c. 1912,Photography," 1,298 "
Decrease the Mass and Run Like Hell (for Parkett 57),Doug Aitken,(American),-1968,,(Male),1999,Prints & Illustrated Books," 1,170 "
"Fifty by Fifty Feet House Project, Aerial perspective",Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1950-1952,Architecture & Design," 1,438 "
Kwakuhlekisa,Cameron Platter,(South African),-1978,,(Male),2007,Prints & Illustrated Books," 1,153 "
Unused preparatory drawing for In Memory of My Feelings,Willem de Kooning,(American),-1904,-1997,(Male),1967,Prints & Illustrated Books," 1,343 "
Plate (folio 36 verso) from LE RÊVE DE L'AMMONITE,Pierre Alechinsky,(Belgian),-1927,,(Male),1972-1975,Prints & Illustrated Books, 914 
Untitled (Fragments VII),Garo Antreasian,(American),-1922,,(Male),1961,Prints & Illustrated Books," 1,349 "
Text Sound Compositions 3,Various Artists,(Various),,,(),1969,Prints & Illustrated Books," 1,179 "
BIJ Leo Faust stationery,Piet Zwart,(Dutch),-1885,-1977,(Male),1930,Architecture & Design," 1,056 "
In-text plate (page 14) from Les Histoires du Petit Renaud,Pierre Bonnard,(French),-1867,-1947,(Male),1927,Prints & Illustrated Books, 973 
Untitled,Felix Gonzalez-Torres,(American),-1957,-1996,(Male),1992,Photography," 1,060 "
Title page from AN AEGEAN NOTE-BOOK,Roloff Beny,(Canadian),-1924,-1984,(Male),(1948-1950),Prints & Illustrated Books," 1,104 "
Plate (folio 84) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,(American),-1943,,(Male),1973,Prints & Illustrated Books," 1,213 "
Still Stills from Remake of Weekend,Pipilotti Rist,(Swiss),-1962,,(Female),1998,Photography," 1,355 "
Lighting Fixture,Kurt Versen,(American),-1901,,(Male),c. 1930-1940,Architecture & Design," 1,120 "
Double page plate (folios 34 verso and 35) from LE LÉZARD AUX PLUMES D'OR,Joan Miró,(Spanish),-1893,-1983,(Male),1971,Prints & Illustrated Books," 1,160 "
"Proposition (Make a Salad), Festival of Misfits, ICA, London, October 23- November 8, 1962",Alison Knowles,(American),-1933,,(Female),1962,Prints & Illustrated Books," 1,240 "
"THE FOX AND THE GRAPES (plate 35, 2nd supplementary suite) from FABLES",Marc Chagall,(French),-1887,-1985,(Male),1927-1952,Prints & Illustrated Books, 946 
"Country Road, County Clare, Ireland",Dorothea Lange,(American),-1895,-1965,(Female),1954,Photography, 995 
Concert 4/26/82 and Lecture 4/30/82,Henry Flynt,(American),-1940,,(Male),1982,Fluxus Collection," 1,285 "
Colophon from Notes on Sound,Romas Viesulas,(American),-1918,-1986,(Male),1965,Prints & Illustrated Books," 1,452 "
The Name of the Rose,Jean-Jacques Annaud,(French),-1943,,(Male),1985,Film," 1,381 "
Birth of a Star,Mariko Mori,(Japanese),-1967,,(Female),1995,Media and Performance Art," 1,190 "
Tina Modotti,Edward Weston,(American),-1886,-1958,(Male),1924,Photography," 1,195 "
Nepenthe,Helen Frankenthaler,(American),-1928,-2011,(Female),1972,Prints & Illustrated Books," 1,255 "
Sculpture 23,Rudolf Belling,(German),-1886,-1972,(Male),1923,Painting & Sculpture," 1,384 "
"APPROACH TO GORDALE SCAR, YORKSHIRE (plate, facing page 70) from ENGLISH SCOTTISH AND WELSH LANDSCAPE",John Piper,(British),-1903,-1992,(Male),1943-1944,Prints & Illustrated Books," 1,113 "
Ville d'avray. Étang,Eugène Atget,(French),-1857,-1927,(Male),1925,Photography," 1,110 "
Headpiece (table of poems) from POÈMES,Maurice Denis,(French),-1870,-1943,(Male),1936-1942,Prints & Illustrated Books," 1,209 "
Study for the dance The Matter,David Gordon,(American),-1936,,(Male),(c. 1971-1972),Drawings," 1,008 "
Untitled from Favorite Objects,Christian Boltanski,(French),-1944,,(Male),1998,Prints & Illustrated Books," 1,119 "
"Bag Piece (1964), performed during Perpetual Fluxfest, Cinematheque, New York, June 27, 1965",Yoko Ono,(American),-1933,,(Female),1965,Prints & Illustrated Books, 974 
The Happy Rare (Le rare heureux) from the portfolio Pencil on Shell (Crayon sur coquille),Pierre Alechinsky,(Belgian),-1927,,(Male),1971,Prints & Illustrated Books," 1,399 "
Flags I,Jasper Johns,(American),-1930,,(Male),1973,Prints & Illustrated Books," 1,320 "
Analogue,Zoe Leonard,(American),-1961,,(Female),1998-2009,Photography," 1,246 "
Untitled fromDream Hospital,Robert Therrien,(American),-1947,,(Male),1995,Prints & Illustrated Books," 1,208 "
Untitled from Women are Beautiful,Garry Winogrand,(American),-1928,-1984,(Male),1950s,Photography," 1,016 "
"Coonley House, Riverside, Illinois (Planting list)",Frank Lloyd Wright,(American),-1867,-1959,(Male),1906-1909,Architecture & Design," 1,318 "
Quarry Worker,Robert Siwangaza,(South African),-1960,,(Male),c. 1987-1989,Prints & Illustrated Books," 1,043 "
Plate (folio 51) from BOOK,Stephen Antonakos,(American),-1926,-2013,(Male),1980-1985,Prints & Illustrated Books," 1,483 "
"AND IN THOSE DAYES, WHEN MOSES WAS GROWEN, HE WENT FOORTH UNTO HIS BRETHREN, AND LOOKED ON THEIR BURDENS (plate, page 19) from THE STORY OF THE EXODUS",Marc Chagall,(French),-1887,-1985,(Male),1966,Prints & Illustrated Books," 1,307 "
Sky of Sky from Maggrite Sky and Other Skies,Masuo Ikeda,(Japanese),-1934,-1997,(Male),1968,Prints & Illustrated Books, 906 
"JERUSALEM, FROM THE WALL OF EN-ROGEL",Francis Frith,(British),-1822,-1898,(Male),1857,Photography," 1,305 "
Break the Silence from Break the Silence!,Gabisile Nkosi,(South African),-1974,-2008,(Female),2000,Prints & Illustrated Books, 998 
Triad,Eszter Haraszty,(American),-1920,-1994,(Female),c. 1951,Architecture & Design," 1,177 "
"Lower Manhattan Wrapped Building, Project for New York from the portfolio Five Urban Projects",Christo,(American),-1935,,(Male),1985,Prints & Illustrated Books," 1,315 "
Jolts of a Cab,Carlo Carrà,(Italian),-1881,-1966,(Male),1911,Painting & Sculpture," 1,490 "
Plate XX (folio 26) from BING,Georg Baselitz,(German),-1938,,(Male),1991,Prints & Illustrated Books," 1,078 "
Edwin Land Announcing New Polaroid Camera,Herbert B. Nichols,(American),-1907,-1994,(Male),1947,Photography," 1,253 "
Last Kamikaze,Yoshitomo Nara,(Japanese),-1959,,(Male),1997,Drawings," 1,009 "
Dvum (For Two),Ekaterina Turova,(),,,(Female),1919,Prints & Illustrated Books, 974 
AM2 Bicycle,Alex Moulton,(British),-1920,-2012,(Male),1983,Architecture & Design, 959 
(Boy With Needle in His Calf),Larry Clark,(American),-1943,,(Male),1963-1971,Photography," 1,079 "
Trois figures - Académies,Henri Matisse,(French),-1869,-1954,(Male),1914,Prints & Illustrated Books," 1,119 "
Headpiece (page 52) from EL SOMBRERON,Alfredo Zalce,(Mexican),-1908,-2003,(Male),1946,Prints & Illustrated Books," 1,042 "
Dance of the Gypsies. Sketch for the choreographer for scene 4 of the ballet Aleko,Marc Chagall,(French),-1887,-1985,(Male),-1942,Drawings," 1,144 "
Untitled from Gloria,Alex Katz,(American),-1927,,(Male),2005,Prints & Illustrated Books," 1,231 "
"Untitled. (two men, one with open shirt and necklace)",Michael Schmidt,(German),-1945,-2014,(Male),1991-1994,Photography," 1,200 "
Barn,Charles Sheeler,(American),-1883,-1965,(Male),1917,Drawings, 918 
Patrik,Jitka Hanzlová,(Czech),-1958,,(Female),1992,Photography," 1,382 "
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal (Plan and perspective sketches)",Álvaro Siza,(Portuguese),-1933,,(Male),1971-1974,Architecture & Design," 1,349 "
Untitled,Neil Farber,(Canadian),-1975,,(Male),2002,Drawings, 973 
"Pillars under the Shed Project, Aerial perspective",Walter Pichler,(Austrian),-1936,-2012,(Male),1975,Architecture & Design," 1,299 "
Lounge Chairs with Arms (Elevation sketches),Ludwig Mies van der Rohe,(American),-1886,-1969,(Male),1931-1932,Architecture & Design," 1,165 "
Xylos Compagnie letterhead (Letter to Zwart),Piet Zwart,(Dutch),-1885,-1977,(Male),1921,Architecture & Design," 1,396 "
Bone Bandit,Charles A. Nichols,(American),-1910,-1992,(Male),1948,Film, 968 
Shirley Adams,Oliver Hermanus,(South African),-1983,,(Male),2009,Film," 1,479 "
Boby 3 Portable Storage System,Joe Colombo,(Italian),-1930,-1971,(Male),1969,Architecture & Design," 1,457 "
Vladimir Maiakovskii,Russian Book Collection,(),,,(),1940,Prints & Illustrated Books, 949 
Plane Tree Reversal,Ruth Asawa,(American),-1926,-2013,(Female),1965,Prints & Illustrated Books, 936 
The Sun Quartet,Tacita Dean,(British),-1965,,(Female),1999-2002,Media and Performance Art," 1,109 "
Stars and Disasters (Astres et Désastres),Pierre Alechinsky,(Belgian),-1927,,(Male),1969,Prints & Illustrated Books," 1,156 "
Sanavardo. Roman,Evgenii Belukha,(Russian),-1889,-1943,(Male),1929,Prints & Illustrated Books," 1,234 "
Kreis der Freunde des Bauhauses,Unknown,(Nationality Unknown),,,(),1924,Architecture & Design," 1,259 "
Untitled,Unknown,(),,,(),c. 1900,Photography," 1,428 "
"A Bandura Player, a Bear and Zemphira, costume design for Aleko (Scene II)",Marc Chagall,(French),-1887,-1985,(Male),-1942,Drawings," 1,239 "
"The Westminster Press. Printers, 11 Henretta St. Covent Garden",E. McKnight Kauffer,(American),-1890,-1954,(Male),1922,Architecture & Design," 1,001 "
"Study for Tea Pot, project (Perspective)",Ettore Sottsass,(Italian),-1917,-2007,(Male),1973,Architecture & Design, 909 
Heinz Veuhoff,Heinz Veuhoff,(German),-1933,,(Male),1965,Prints & Illustrated Books," 1,484 "
Untitled,Martin Kippenberger,(German),-1953,-1997,(Male),1992,Drawings," 1,117 "
"Untitled. (landscape, dusk, cloud)",Michael Schmidt,(German),-1945,-2014,(Male),1991-1994,Photography, 989 
Views of Hotel Well III,David Hockney,(British),-1937,,(Male),1984-1985,Prints & Illustrated Books," 1,444 "
Phantom of Neverland,Clarence John Laughlin,(American),-1905,-1985,(Male),1958,Photography," 1,419 "
Colored Rhythm: Study for the Film,Léopold Survage,(French),-1879,-1968,(Male),-1913,Drawings," 1,132 "
"Double page plate (supplementary suite, plate 3) from VACILLATIONS",Pierre Alechinsky,(Belgian),-1927,,(Male),1979,Prints & Illustrated Books," 1,244 "
Oberweimar Tumblers,Wilhelm Wagenfeld,(German),-1900,-1990,(Male),1935,Architecture & Design," 1,048 "
Plate (folio 78) from LA VILLE,Frans Masereel,(Belgian),-1889,-1972,(Male),1925,Prints & Illustrated Books," 1,170 "
Small Self-Portrait,Nicola Tyson,(British),-1960,,(Female),2002,Drawings, 992 
Follow the Child within You,Louise Bourgeois,(American),-1911,-2010,(Female),1998,Prints & Illustrated Books," 1,217 "
Elite '88,Martin Kippenberger,(German),-1953,-1997,(Male),1988,Prints & Illustrated Books," 1,121 "
Untitled from Labyrismen,Constant (Constant Anton Nieuwenhuys),(Dutch),-1920,-2005,(Male),1968,Prints & Illustrated Books," 1,245 "
"Untitled, plate 10 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),-1911,-2010,(Female),1995,Prints & Illustrated Books," 1,412 "
Le petit Café,Rolf Harder,(Canadian),-1929,-2013,(Male),c. 1962,Architecture & Design," 1,414 "
